architecture,baseline_clean_accuracy,baseline_clean_macro_f1,baseline_normalized_accuracy_snr_auc,baseline_normalized_macro_f1_snr_auc,baseline_worst_noisy_accuracy,baseline_worst_noisy_macro_f1,augmented_clean_accuracy,augmented_clean_macro_f1,augmented_normalized_accuracy_snr_auc,augmented_normalized_macro_f1_snr_auc,augmented_worst_noisy_accuracy,augmented_worst_noisy_macro_f1,clean_accuracy_delta,clean_macro_f1_delta,normalized_accuracy_snr_auc_delta,normalized_macro_f1_snr_auc_delta,worst_noisy_accuracy_delta,worst_noisy_macro_f1_delta
cnn,0.7120669056152927,0.7323209768431472,0.5830346475507766,0.5641828569450992,0.4504181600955794,0.4229666531664954,0.7287933094384708,0.7469456014463399,0.6660692951015532,0.6723552859374007,0.5495818399044206,0.5481445841902582,0.016726403823178027,0.014624624603192693,0.08303464755077661,0.1081724289923015,0.09916367980884117,0.12517793102376285
crnn,0.7837514934289128,0.803725365198108,0.6663679808841099,0.6712973223839606,0.4994026284348865,0.4952174173403567,0.7419354838709677,0.7573741197767603,0.7099761051373955,0.7222327771830797,0.6140979689366786,0.6186322488302588,-0.041816009557945066,-0.04635124542134772,0.04360812425328564,0.050935454799119095,0.11469534050179209,0.12341483148990212
resnet18,0.7395459976105138,0.761740524803286,0.5818399044205497,0.5711506733366642,0.4420549581839904,0.4248778207608851,0.7574671445639187,0.7780788402119534,0.7045997610513741,0.7258002963132102,0.6081242532855436,0.6383989397782284,0.017921146953404965,0.01633831540866737,0.12275985663082445,0.15464962297654594,0.16606929510155327,0.21352111901734327
