experiment_id,architecture,training_condition,clean_accuracy,clean_macro_f1,accuracy_slope_per_db,macro_f1_slope_per_db,normalized_accuracy_snr_auc,normalized_macro_f1_snr_auc,worst_noisy_accuracy,worst_noisy_macro_f1,macro_f1_auc_rank
cnn_augmented_run01_20260823t110934z,cnn,augmented,0.7287933094384708,0.7469456014463399,0.008363201911589,0.008943967596405,0.6660692951015532,0.6723552859374007,0.5495818399044206,0.5481445841902582,3.0
cnn_baseline_run01_20260822t133403z,cnn,baseline,0.7120669056152927,0.7323209768431472,0.0109916367980884,0.0119704643060343,0.5830346475507766,0.5641828569450992,0.4504181600955794,0.4229666531664954,6.0
crnn_augmented_run01_20260823t180807z,crnn,augmented,0.7419354838709677,0.7573741197767603,0.0067502986857825,0.0072372052493837,0.7099761051373955,0.7222327771830797,0.6140979689366786,0.6186322488302588,2.0
crnn_baseline_run01_20260822t163312z,crnn,baseline,0.7837514934289128,0.803725365198108,0.0124850657108721,0.0134008942559262,0.6663679808841099,0.6712973223839606,0.4994026284348865,0.4952174173403567,4.0
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,0.7574671445639187,0.7780788402119534,0.0074671445639187,0.0069962350217438,0.7045997610513741,0.7258002963132102,0.6081242532855436,0.6383989397782284,1.0
resnet18_baseline_run01_20260823t091022z,resnet18,baseline,0.7395459976105138,0.761740524803286,0.0127837514934289,0.0140068916692081,0.5818399044205497,0.5711506733366642,0.4420549581839904,0.4248778207608851,5.0
