experiment_id,architecture,training_condition,condition,snr_db,label,class_name,precision,recall,f1,support
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,7,jackhammer,0.7699115044247787,0.90625,0.8325358851674641,96
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,8,siren,0.9705882352941176,0.3975903614457831,0.5641025641025641,83
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,9,street_music,0.8514851485148515,0.86,0.8557213930348259,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,0,air_conditioner,0.4551724137931034,0.66,0.5387755102040817,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,1,car_horn,1.0,0.4848484848484848,0.6530612244897959,33
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,2,children_playing,0.5194805194805194,0.8,0.6299212598425197,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,3,dog_bark,0.7469879518072289,0.62,0.6775956284153005,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,4,drilling,0.632,0.79,0.7022222222222222,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,5,engine_idling,0.819672131147541,0.5376344086021505,0.6493506493506493,93
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,6,gun_shot,1.0,0.4375,0.6086956521739131,32
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,7,jackhammer,0.8191489361702128,0.8020833333333334,0.8105263157894737,96
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,8,siren,0.9696969696969696,0.3855421686746988,0.5517241379310345,83
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,9,street_music,0.7589285714285714,0.85,0.8018867924528302,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,0,air_conditioner,0.391304347826087,0.63,0.4827586206896552,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,1,car_horn,0.9375,0.4545454545454545,0.6122448979591837,33
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,2,children_playing,0.4278350515463917,0.83,0.564625850340136,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,3,dog_bark,0.75,0.42,0.5384615384615384,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,4,drilling,0.6875,0.77,0.7264150943396226,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,5,engine_idling,0.7959183673469388,0.4193548387096774,0.5492957746478874,93
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,6,gun_shot,1.0,0.3125,0.4761904761904761,32
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,7,jackhammer,0.8041237113402062,0.8125,0.8082901554404145,96
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,8,siren,0.95,0.2289156626506024,0.3689320388349514,83
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,9,street_music,0.6639344262295082,0.81,0.7297297297297297,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,0,air_conditioner,0.2906403940886699,0.59,0.3894389438943894,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,1,car_horn,0.8181818181818182,0.2727272727272727,0.4090909090909091,33
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,2,children_playing,0.3256880733944954,0.71,0.4465408805031446,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,3,dog_bark,0.4,0.18,0.2482758620689655,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,4,drilling,0.7230769230769231,0.47,0.5696969696969697,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,5,engine_idling,0.6176470588235294,0.2258064516129032,0.3307086614173228,93
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,6,gun_shot,1.0,0.21875,0.358974358974359,32
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,7,jackhammer,0.7127659574468085,0.6979166666666666,0.7052631578947368,96
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,8,siren,0.8461538461538461,0.1325301204819277,0.2291666666666666,83
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,9,street_music,0.4557823129251701,0.67,0.5425101214574899,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,0,air_conditioner,0.8524590163934426,0.52,0.6459627329192547,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,1,car_horn,0.6590909090909091,0.8787878787878788,0.7532467532467533,33
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,2,children_playing,0.5194805194805194,0.8,0.6299212598425197,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,3,dog_bark,0.8536585365853658,0.7,0.7692307692307693,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,4,drilling,0.6608695652173913,0.76,0.7069767441860465,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,5,engine_idling,0.8378378378378378,0.6666666666666666,0.7425149700598802,93
